Vessel Name,IMO Number,IRCS
LU RONG YUAN YU 197,,
ABDI BABA 1,8692299,
ABISHAK PUTHA 3,,4SFXXXX
ABUNDANT 1,,CPA 226
ABUNDANT 12,,CPA202
ABUNDANT 3,,CPA201
ABUNDANT 6,,CPA221
ABUNDANT 9,,CPA222
ACROS NO. 2,7379345,
AKASH,,
AL'AMIR MUHAMMAD,,
ALBORAN II,7306570,
ALFA,7436533,4LPN
AMORINN,7036345,
AN TON,8907888,D6A3582
ANEKA 228,,
ANNAI VELAMKANNI,,
ANTONY,7236634,
AQUARUS,,
ARARAT/RESHMITHA,,
AROGYA ANNAI,,
ARPUTHA MATHA,,
ASIAN WARRIOR,7322897,
ATLANTIC GLORY,8919403,V3PB8
ATLANTIC PRINCE,8919415,V3PG8
ATLANTIC QUEEN,9223227,9GHE
ATLANTIC WIND,9042001,
AVE MARIA,,
AVE MARIYA,,
AVIOR,7612321,4LIJ
BALENA,,
BAROON,9037537,
BELLATOR,9179359,D3P5442
BENAIAH,,
BENEDICTA,,
BHASKARA NO. 10,,
BHASKARA NO. 9,,
BHINEKA,,YGJY
BIGEYE,,FN003883
BINH MINH 02,8326319,3WYN
BLAGODATNY,7645237,
BLUE OCEAN MARINE,7826271,V3AF3
BRAVO,,T8AN3
CAMELOT,,
CAPTAIN NAS 2,8318570,D6A2026
CARIBBEAN STAR NO. 31,,
CARIBE,7351161,
CARLOS,7234014,
CARMAL MATHA,,
CARMEN,8522030,4LSK
CEFEY,7700104,UGAU
CEVAHIR,8133839,
CHALLENGE,6622642,HO5381
CHI TONG,,
CHIA YU 3,,
CHOTCHAINAVEE 35,,
COBIJA,7330399,
COMET,8324139,
CONCHITA VI,,V3TB7
CRYSTAL CROWN,7826245,
DAE YANG NO. 606,8013883,DTBV3
DEWLI FISHING KUDAWELLA,,
DIEGO STAR 3,8001608,D6A2132
DIGNAMOL 1,,
DIVO,7913622,D6A3596
DOLFIN,8422852,
DONG WON NO. 629,7809986,DTAQ8
DRAGON 18,,V3NS5
DRAGON 28,,V3HT2
DRAGON III,,
DRAGON VI,,
DRAGON XIII,,
DUBREKA,8028424,J7AW4
EASRON,,
EL SHADAI,,
EL SHADDAI,8025082,ZR6358
EMMANUEL,,
EPHRAEEM,,
EROS DOS,8604668,
EVA,8522119,4LPH
F/V EMILY,,
FB KUDA LAUT 03,,DUM-4015
FLORENTINO,9130793,HC5240
FONG KUO NO. 819,8913992,3FCY3
FREEDOM 7,7302548,
FU HSIANG FA 18,,
FU HSIANG FA NO. 01,,
FU HSIANG FA NO. 02,,
FU HSIANG FA NO. 06,,
FU HSIANG FA NO. 08,,
FU HSIANG FA NO. 09,,
FU HSIANG FA NO. 11,,
FU HSIANG FA NO. 13,,
FU HSIANG FA NO. 17,,
FU HSIANG FA NO. 20,,
FU HSIANG FA NO. 21,,
FU HSIANG FA NO. 23,,
FU HSIANG FA NO. 26,,
FU HSIANG FA NO. 30,,
FU LIEN NO. 1,7355662,
FULL RICH,,HMEK3
GIFT OF GOD,,
GILONTAS NO.382,1740877,9M3857
GLORIOUS HARMONY,7806702,
GOD BLESS,,
GODS GIFT,,
GOIDAU RUEY NO.1,,HO2508
GOOD HOPE,7020126,5NMU
GORILERO,6719419,
GUNUAR MELYAN 21,,
HAI DA 705,,
HALELUYA,,HJLX
HALIFAX,8529533,V5IW
HAMBAN TOTA EXPRESS,8450835,4SF5385
HAN,8214645,V4BK5
HE LI 1 HAO,8524492,
HEAVY SEA,7322926,
HIROYOSHI - 17,8565836,YB5548
HOOM XIANG 101,,
HOOM XIANG 103,,
HOOM XIANG 105,,
HOOM XIANG 11,,
HSIN CHI WANG NO. 8,8994300,
